Datas,Papel,Abertura,Alta,Baixa,Fechamento,Volume,MMS9,MME50,DesvioPadrao,BandaSuperior,BandaInferior,IFR,Max20,Min20,FechamentoSeguinte
2019-10-25,BBAS3,39.543543568920555,40.18754837932253,39.40136230466745,39.9199104309082,10461600,38.73133977254232,38.77810206556355,1.1481298649267202,40.846047771401736,36.25352831169486,60.12007167955349,39.9199104309082,35.972251892089844,40.80646896362305
2019-10-28,BBAS3,40.020279586062145,40.80646896362305,39.89482607445952,40.80646896362305,14499600,39.14116075303819,38.8576458654875,1.3156906183051948,41.45184944561696,36.18908697239618,64.57743525989127,40.80646896362305,35.972251892089844,40.69773483276367
2019-10-29,BBAS3,40.6391892300661,41.07410170045953,40.53046031484373,40.69773483276367,10394400,39.48128424750434,38.929806217145426,1.4337998786500683,41.96635082541537,36.2311513108151,63.63080910709428,40.80646896362305,35.972251892089844,41.333377838134766
2019-10-30,BBAS3,40.65592060669439,41.333377838134766,39.7526400441121,41.333377838134766,15748200,39.90039825439453,39.02406392777251,1.5177718325466154,42.517503614933425,36.44641628474697,66.69024344585905,41.333377838134766,35.972251892089844,40.271183013916016
2019-10-31,BBAS3,40.89845998802377,40.98209564170653,40.10390851605481,40.271183013916016,14170300,40.09462102254232,39.07297055860169,1.561506590911443,42.84447855269469,36.59845218904892,57.98930709738945,41.333377838134766,35.972251892089844,40.11227035522461
2019-11-01,BBAS3,40.51372723129034,40.81482068596355,39.68572342143466,40.11227035522461,12304300,40.23959096272787,39.11372741337124,1.5928525099980504,43.13907207987714,36.76766203988494,56.78500305783246,41.333377838134766,35.972251892089844,39.88644790649414
2019-11-04,BBAS3,40.2711801816656,40.6057259633639,39.64390325167389,39.88644790649414,11123000,40.26653925577799,39.144030177807444,1.5358858442255034,43.14907236705097,37.00552899014895,55.01623207989759,41.333377838134766,35.972251892089844,40.137367248535156
2019-11-05,BBAS3,39.97845502719505,40.52209639089219,39.836273766518026,40.137367248535156,9246200,40.302781422932945,39.18298457273796,1.3998636385620231,42.99792126072224,37.39846670647414,56.59870924472707,41.333377838134766,36.96752166748047,39.86972427368164
2019-11-06,BBAS3,40.14572768293983,40.547184576909736,39.602086344368374,39.86972427368164,10844200,40.33716498480903,39.209915541402424,1.3185367877863265,42.85579583231981,37.58164868117451,54.37396021560183,41.333377838134766,37.118080139160156,39.86972427368164
2019-11-07,BBAS3,40.18754551117707,40.547184576909736,39.694087480787765,39.86972427368164,14498100,40.33158874511719,39.23579039364868,1.2303300275732487,42.6847038145792,37.763383704286206,54.37396021560183,41.333377838134766,37.118080139160156,39.30937194824219
2019-11-08,BBAS3,39.610465520452905,39.93664916018222,38.94137046581624,39.30937194824219,16805900,40.16524463229709,39.23867594480921,1.1772937005206643,42.55582204515088,37.846647243068226,49.67693470945317,41.333377838134766,37.118080139160156,39.51008605957031
2019-11-11,BBAS3,39.09190142096159,39.66899507366321,38.81589802804194,39.51008605957031,10123900,40.03328365749783,39.24931947872141,1.0994144417753677,42.362806766629575,37.9651489995281,51.29513022013903,41.333377838134766,37.118080139160156,39.07518768310547
2019-11-12,BBAS3,39.33446021022149,39.761010481439364,38.765728642262154,39.07518768310547,16508300,39.782373640272354,39.24249078085412,0.9516034082594383,41.90979549227793,38.10338185924018,47.74065552950213,41.333377838134766,37.56135177612305,38.43117904663086
2019-11-13,BBAS3,38.832636022554645,39.0500906880772,38.314087827465144,38.43117904663086,13087600,39.57792875501845,39.210674634413984,0.8783331567630478,41.55720446327308,38.04387183622089,42.96819246446224,41.333377838134766,37.56135177612305,38.899539947509766
